image,caption,label
level_1/1-s2.0-S0020138316000772-gr4.jpg,"Severe laceration on arm, massive hemorage, non-responisve",Level 1
level_1/1-s2.0-S2210261220303382-pl1.jpg,"Severe laceration on torso, Massive Hemorage, non responsive",Level 1
level_1/8250661276_a79c209de5_o.jpg,"massive hemorage, responsive",Level 2
level_1/cas2.png,"Severe laceration on arm and leg, massive hemorage, non responsi",Level 2
level_1/cas3.png,"Severe Laceration to leg and arm, massive hemorage, non-responsive",Level 1
level_1/cas4.png,"massive hemorage, severe laceration to arm, responsive",Level 1
level_1/cas5.png,"Severe lateration on torso, massive hemorage, non-responsive",Level 1
level_1/Example-of-a-combined-burn-and-blast-injury-Notice-the-amputation-with-external-fixator.png,"severe Burns on leg, Severe laceration on leg, non-responsive",Level 1
level_1/Extensive-thermal-injuries-that-required-bilateral-lower-limb-amputation-on-the-day-of.png,"severe lateration on both legs, major burns on torso and arm, massive hemorage, non-responsive",Level 1
level_1/istockphoto-507032227-612x612.jpg,"Severe laceration on torso, minor laceration on arm, Massive hemorage, non responsive",Level 1
level_1/original.jpg,"Severe  laceration neck/head, massive hemorage, non responsive",Level 1
level_1/sofia-bulgaria-june-21-2016-vegans-and-vegetarians-animal-rights-activists-GP30E6.jpg,"massive hemorage, non responsive",Level 1
level_2/497149_1_En_18_Fig5_HTML.jpg,"massive hemorage, non responsive, severe laceration",Level 1
level_2/5bd4a00852e13c87fb5ae6e96a5add6c6cdd5632a05523802197915d519c20ba._SX1080_FMjpg_.jpg,"responsive, massive hemorage",Level 2
level_2/battle_wounds_by_sometimesalicefx_da0u5fs-fullview.jpg,"Level 3, responsive, minor lacerations",Level 3
level_2/ERj0wapX0AYoT0B.jpg,"Level 3, responsive, minor lacerations",Level 3
level_2/gettyimages-1053932616-612x612.jpg,"Level 2, Major Laceration on Head, unresponsive",Level 2
level_2/gettyimages-484318472-612x612.jpg,"Level 2, unresponsive, blunt force trauma",Level 2
level_2/redcon2.jpg,"Level 2, minor lacerations on neck and head, responsive",Level 2
level_3/I-Declare-War (1).jpg,"Level 3, responsive, trauma to head",Level 3
level_3/thumb_3EAE1972-E3C6-47C8-8449-7706EF014F7E.jpg,"Level 3, responsive, laceration",Level 3
level_4/elb6.jpeg,"level 4, minor laceration",
level_4/elb8.jpeg,"level 4, minor laceration",
level_4/elb9.jpeg,"level 4, minor laceration",
level_4/Fog-of-War-star-Jake-Abel-recalls-lessons-from-William-Hurt-more.jpg,"level 4, responsive, minor laceration on head",
level_4/I-Declare-War.jpg,"level 5, responsive, no injury",
level_4/knee.jpeg,"level 4, minor laceration to leg",
level_4/knee1.jpeg,"level 4, minor laceration to leg",
level_4/knee2.jpeg,"level 4, minor laceration to leg",
level_4/knee3.jpeg,"level 4, minor laceration to leg",
level_4/knee5.jpeg,"level 4, minor laceration to leg",
level_4/knee6.jpeg,"level 4, minor laceration to leg",
level_4/knee7.jpeg,"level 4, minor laceration to leg",
level_4/knee8.jpeg,"level 4, minor laceration to leg",
level_4/knee9.jpeg,"level 4, minor laceration to leg",
level_4/screenshot-1211.png,"level 4, minor laceration to face",
level_4/sic1.png,"level 5, responsive, no injury",
level_5/102017252042489893129330.jpg,"level 5, responsive, no injury",
level_5/148_ Lying-down Body Twist (Natrajasana).jpg,"level 5, responsive, no injury",
level_5/istockphoto-1395154596-612x612.jpg,"level 5, responsive, no injury",
